episode,episode_cost,loss
1,932622.5,13970384.0
2,1058962.5,13409120.0
3,938472.5,12224737.0
4,744292.5,7372442.5
5,1143025.0,20788368.0
6,1267067.5,25192216.0
7,1289270.0,24785290.0
8,1132697.5,16937040.0
9,955707.5,13465537.0
10,736022.5,8490651.0
11,1097705.0,17134834.0
12,1122775.0,18530508.0
13,1071865.0,17433054.0
14,1102010.0,18340546.0
15,944010.0,13818863.0
16,862047.5,10592558.0
17,841637.5,11249847.0
18,739165.0,7766703.5
19,984507.5,15219248.0
20,893370.0,12022953.0
21,1058862.5,17872116.0
22,1049360.0,17743578.0
23,785575.0,8740503.0
24,969755.0,13411291.0
25,1106460.0,17551044.0
26,950465.0,13085058.0
27,787100.0,9280885.0
28,973675.0,14280753.0
29,905825.0,12359004.0
30,882190.0,9696605.0
31,930435.0,12640936.0
32,970815.0,13797902.0
33,997490.0,15257544.0
34,963112.5,14147301.0
35,912157.5,11663328.0
36,1140577.5,22282604.0
37,940755.0,12862924.0
38,1082367.5,16807792.0
39,1022857.5,16199031.0
40,949007.5,11983478.0
41,881620.0,10694184.0
42,1068855.0,17546348.0
43,753850.0,7413620.0
44,1163382.5,22149350.0
45,861075.0,11511617.0
46,790770.0,9340556.0
47,948062.5,13102812.0
48,875657.5,10859811.0
49,1040692.5,15401564.0
50,846880.0,11380755.0
51,939930.0,13994749.0
52,903135.0,11150779.0
53,1062860.0,15214685.0
54,1109005.0,16703869.0
55,843195.0,11269755.0
56,915915.0,13625494.0
57,1199562.5,18896910.0
58,1088672.5,16442161.0
59,1111257.5,18143520.0
60,628792.5,6508904.5
61,868840.0,9751820.0
62,787405.0,9185535.0
63,972195.0,14686651.0
64,1131597.5,19459188.0
65,834645.0,10042237.0
66,740462.5,7442415.5
67,747240.0,8177324.0
68,739510.0,7497235.5
69,546305.0,4103284.75
70,711052.5,6853306.5
71,813220.0,10252397.0
72,995295.0,15376955.0
73,715217.5,8110963.0
74,769695.0,7334382.5
75,804075.0,9472539.0
76,1006927.5,16016524.0
77,1062397.5,17685046.0
78,1000635.0,14107271.0
79,927197.5,12109617.0
80,1023485.0,14922109.0
81,748210.0,8724693.0
82,754022.5,7897854.5
