technique,episodes,average_cost,cost_standard_deviation,average_holding_cost,average_stockout_cost,average_ordering_cost,average_discarding_cost,average_service_level
Neural Network based SARSA,25,101822.9,5711.852793387915,79694.9,6760.0,15368.0,0.0,0.9964007278363596
DQN,25,104006.3,12253.801814811053,51446.3,33648.0,18912.0,0.0,0.9822769943313092
Double DQN,25,110289.5,10407.09461036877,72710.3,19400.0,18179.2,0.0,0.9899649434857709
Neural Network based Q-Learning,25,119597.4,6316.550164382981,92717.4,8864.0,18016.0,0.0,0.9954522878380365
Demonstration baseline,25,194325.7,24308.952553106163,47992.1,126740.0,19593.6,0.0,0.9298195045876234
Tabular SARSA,25,259092.2,39997.37697988249,98200.2,141756.0,13424.0,5712.0,0.9128480320921041
TD(lambda) with Eligibility Traces,25,381595.8,65917.61256453645,85266.6,240912.0,11875.2,43542.0,0.8634971352569677
PPO,25,423742.4,47094.713197847384,177510.4,122748.0,20000.0,103484.0,0.9316531121677153
Tabular Q-Learning,25,448707.6,68450.10582335987,51553.6,364628.0,12544.0,19982.0,0.7926158547006166
REINFORCE with baseline,25,633060.9,52130.9690820869,148334.9,440528.0,20000.0,24198.0,0.7218281063427728
