day,reward,daily_cost,episode_cost,inventory_p1,inventory_p2,inventory_p3,order_p1,order_p2,order_p3
0,-26.85,2685.0,2685.0,73,81,72,10,0,20
1,-21.225,2122.5,4807.5,47,55,57,30,20,30
2,-13.825,1382.5,6190.0,12,32,51,30,30,40
3,-39.275,3927.5,10117.5,0,15,67,30,20,30
4,-12.775,1277.5,11395.0,9,35,35,20,20,30
5,-14.2,1420.0,12815.0,6,35,58,30,30,30
6,-12.575,1257.5,14072.5,7,31,43,30,20,40
7,-28.85,2885.0,16957.5,0,33,52,30,20,40
8,-10.0,1000.0,17957.5,0,8,64,20,30,30
9,-12.325,1232.5,19190.0,0,22,67,30,30,30
10,-24.7,2470.0,21660.0,0,21,74,30,20,30
11,-54.35,5435.0,27095.0,0,32,74,30,30,20
12,-16.55,1655.0,28750.0,0,28,58,20,20,30
13,-13.325,1332.5,30082.5,4,31,57,30,30,40
14,-13.525,1352.5,31435.0,3,27,69,30,20,30
15,-45.75,4575.0,36010.0,0,29,72,30,30,30
16,-11.75,1175.0,37185.0,1,20,62,20,30,20
17,-39.35,3935.0,41120.0,0,29,40,30,20,40
18,-13.475,1347.5,42467.5,7,35,47,30,30,40
19,-53.15,5315.0,47782.5,0,32,58,30,20,40
20,-15.775,1577.5,49360.0,6,39,71,20,20,30
21,-13.475,1347.5,50707.5,1,32,61,30,30,20
22,-13.475,1347.5,52055.0,10,33,47,30,20,40
23,-26.825,2682.5,54737.5,0,19,53,20,20,40
24,-22.6,2260.0,56997.5,0,13,62,30,50,30
25,-9.125,912.5,57910.0,1,3,61,30,20,30
26,-53.075,5307.5,63217.5,0,31,59,30,30,30
27,-11.6,1160.0,64377.5,4,20,56,20,20,40
28,-24.175,2417.5,66795.0,0,18,73,30,30,30
29,-18.075,1807.5,68602.5,0,11,59,30,40,20
30,-78.525,7852.5,76455.0,0,20,47,30,20,50
31,-25.675,2567.5,79022.5,0,35,59,20,20,30
32,-15.35,1535.0,80557.5,0,29,40,30,30,40
33,-8.975,897.5,81455.0,1,16,33,30,30,40
34,-51.35,5135.0,86590.0,0,27,44,30,30,50
35,-15.425,1542.5,88132.5,10,35,69,20,20,30
36,-16.075,1607.5,89740.0,3,42,73,20,20,30
37,-14.6,1460.0,91200.0,1,33,74,40,20,20
38,-62.875,6287.5,97487.5,0,0,65,30,30,30
39,-90.15,9015.0,106502.5,0,11,60,20,30,30
40,-7.975,797.5,107300.0,6,11,23,20,30,30
41,-10.35,1035.0,108335.0,5,10,58,40,30,40
42,-38.975,3897.5,112232.5,0,15,63,30,30,30
43,-65.475,6547.5,118780.0,0,25,23,20,30,30
44,-13.2,1320.0,120100.0,5,28,60,20,20,40
45,-15.6,1560.0,121660.0,8,41,62,40,30,20
46,-13.3,1330.0,122990.0,0,39,46,30,10,40
47,-54.425,5442.5,128432.5,0,46,47,20,30,40
48,-11.9,1190.0,129622.5,13,22,44,20,20,40
49,-12.425,1242.5,130865.0,22,19,45,30,30,40
