episode,episode_cost,mean_loss
1,936105.0,3171148.9375
2,935185.0,3122958.1875
3,865587.5,2763322.28125
4,1063580.0,4153458.53125
5,1036252.5,4083176.65625
6,986602.5,3899781.21875
7,919442.5,3145851.71875
8,770260.0,2275104.375
9,1032267.5,4553443.875
10,676552.5,1738625.734375
11,794945.0,2576071.0
12,789605.0,2416393.40625
13,1129495.0,5157587.0
14,1198015.0,6091479.6875
15,974305.0,3782722.09375
16,1300560.0,6721418.625
17,1222850.0,6040467.6875
18,983220.0,3935537.21875
19,747882.5,2264941.15625
20,1131427.5,5157652.4375
21,1358367.5,7510184.5625
22,1113570.0,4796863.0625
23,1152092.5,5326689.8125
24,1220267.5,6120173.3125
25,1096402.5,4915677.875
26,1176912.5,5495606.1875
27,1145075.0,5114798.0625
28,1067547.5,4683930.0
29,1129642.5,5256069.3125
30,972780.0,3831308.9375
31,434605.0,718670.34375
32,867950.0,3124160.0
33,1324705.0,7121424.125
34,1366365.0,7808584.9375
35,995782.5,3919208.9375
36,1096695.0,4909966.1875
37,1261302.5,6194199.6875
38,1132375.0,5503673.3125
39,1244805.0,6145751.75
40,872680.0,3032187.34375
41,1248070.0,6101077.375
42,952760.0,3445426.03125
43,840620.0,2965975.1875
44,853902.5,2972221.84375
45,873002.5,3117635.0625
46,695582.5,1982849.0
47,621902.5,1582556.828125
48,431192.5,774805.0390625
49,668240.0,1745614.6875
50,328987.5,414380.1015625
51,288467.5,255534.43359375
52,357975.0,436752.39453125
53,448677.5,736910.6015625
54,312527.5,358484.90625
55,535227.5,1154072.9375
56,496817.5,1056725.234375
57,412102.5,644544.4453125
58,511137.5,1024476.0078125
59,527350.0,1157613.796875
60,448530.0,723446.3046875
61,414855.0,542532.7421875
62,413890.0,591966.5703125
63,309295.0,356111.65234375
64,481280.0,902017.8203125
65,321500.0,368973.7890625
66,302545.0,305696.078125
67,450765.0,816555.8359375
68,738535.0,2158909.28125
69,553952.5,1224764.421875
70,635220.0,1492343.3125
71,631762.5,1489548.90625
72,545482.5,1157029.609375
73,660845.0,1650544.46875
74,412792.5,597279.640625
75,212177.5,142887.7578125
76,282925.0,280383.734375
77,241382.5,186717.1171875
78,358655.0,434395.67578125
79,257210.0,244356.259765625
80,407042.5,590330.046875
81,246125.0,176329.146484375
82,309940.0,254573.8359375
83,316122.5,316622.3125
84,364730.0,399622.43359375
85,986212.5,4330024.125
86,702367.5,2150142.25
87,705017.5,2150726.21875
88,905615.0,3177304.46875
89,572355.0,1179071.671875
90,647920.0,1652754.609375
91,379095.0,504590.265625
92,693032.5,1791873.4375
93,490912.5,879585.53125
94,369765.0,457048.15234375
95,475520.0,684595.6796875
96,635537.5,1375133.171875
97,395067.5,666760.25
98,191617.5,118960.1513671875
99,181322.5,98122.986328125
100,395197.5,591711.9609375
101,244080.0,219614.357421875
102,195562.5,112796.9404296875
103,339812.5,416705.9609375
104,381582.5,485762.58984375
105,402305.0,549512.5546875
106,260130.0,200539.06640625
107,394940.0,529142.28125
108,338117.5,407864.78125
109,387307.5,500490.1171875
110,375225.0,494680.12109375
111,392620.0,572213.5390625
112,294705.0,307233.96875
113,416252.5,540070.84375
114,480485.0,808020.0859375
115,269860.0,244228.1015625
116,443572.5,756956.6015625
117,385607.5,585741.21875
118,420892.5,601554.25
119,406602.5,588234.1796875
120,362232.5,476284.8125
121,477785.0,922045.265625
122,479780.0,899193.1953125
123,341500.0,427060.94140625
124,467620.0,799675.5859375
125,507190.0,994444.4296875
126,426402.5,610358.078125
127,279395.0,262596.84375
128,394805.0,473310.35546875
129,249117.5,191075.251953125
130,382310.0,453134.1015625
131,460332.5,648706.9765625
132,412375.0,549514.0234375
133,367295.0,485033.14453125
134,301750.0,283483.03125
135,322472.5,314419.9296875
136,416037.5,558763.484375
137,459662.5,764342.421875
138,530582.5,994082.1484375
139,593497.5,1296194.984375
140,436835.0,660387.1015625
141,611662.5,1371368.625
142,732587.5,2099739.40625
143,494065.0,872497.8046875
144,362892.5,432239.2890625
145,269160.0,266983.94140625
146,266415.0,210011.283203125
147,246265.0,174750.833984375
148,341622.5,368343.50390625
149,395140.0,502264.51171875
150,374822.5,495437.33984375
151,240957.5,159862.982421875
152,194605.0,99830.6728515625
153,269502.5,234054.814453125
154,375297.5,521306.36328125
155,156747.5,70521.02734375
156,315550.0,333210.9140625
157,294852.5,289383.5234375
158,347842.5,379884.57421875
159,180767.5,104577.4482421875
160,237717.5,158642.9296875
161,265530.0,225347.6171875
162,228682.5,162236.662109375
163,469370.0,696760.9453125
164,270787.5,199553.439453125
165,362672.5,442155.5703125
166,201355.0,102484.1650390625
167,191982.5,99714.076171875
168,320080.0,380569.53125
169,296727.5,271001.62890625
170,328340.0,329023.83203125
171,331415.0,362952.98828125
172,324755.0,358195.046875
173,546717.5,1014910.46875
174,416150.0,547231.8359375
175,383062.5,456693.140625
176,465310.0,683933.5625
177,312240.0,324278.9609375
178,282782.5,225369.8046875
179,332305.0,311724.40234375
180,273922.5,230985.107421875
181,218645.0,151445.287109375
182,328420.0,361852.3359375
183,258892.5,202478.662109375
184,308502.5,337719.27734375
185,371472.5,474797.48828125
186,383822.5,516214.96875
187,318447.5,305971.56640625
188,198130.0,110423.173828125
189,534745.0,982825.8046875
190,489657.5,784802.75
191,299460.0,288723.73046875
192,328145.0,351508.609375
193,508347.5,1004992.9296875
194,541877.5,973092.5859375
195,315660.0,308757.703125
196,349955.0,382348.51953125
197,394647.5,526095.6875
198,443435.0,665281.6015625
199,179357.5,81722.2587890625
200,310012.5,314528.6328125
201,501445.0,732107.4609375
202,318837.5,353597.01171875
203,295752.5,292651.01953125
204,468332.5,763090.5234375
205,386470.0,501807.578125
206,323917.5,359085.171875
207,222810.0,141324.478515625
208,208395.0,115942.5546875
209,517430.0,847819.515625
210,527967.5,967002.265625
211,298880.0,251485.23046875
212,431845.0,694228.4765625
213,378672.5,415734.3046875
214,554600.0,1054908.03125
215,387607.5,493204.6953125
216,229262.5,137239.939453125
217,248592.5,198080.373046875
218,232370.0,148940.150390625
219,476590.0,704187.453125
220,338990.0,410983.94140625
221,260752.5,192984.689453125
222,216680.0,135184.52734375
223,242417.5,169916.6640625
224,326132.5,377141.14453125
225,402685.0,562093.8203125
226,186962.5,97624.0078125
227,298025.0,267311.67578125
228,233775.0,162965.927734375
229,303672.5,274700.0390625
230,276657.5,239790.232421875
231,264855.0,199160.4765625
232,243760.0,181176.02734375
233,430195.0,718853.328125
234,243725.0,159509.16796875
235,350475.0,436540.20703125
236,303722.5,291917.515625
237,247757.5,183865.458984375
238,241920.0,170770.48046875
239,185250.0,85579.626953125
240,336865.0,358751.80859375
241,254967.5,180622.501953125
242,310462.5,310002.20703125
243,252137.5,177834.94140625
244,270892.5,231448.076171875
245,309840.0,292317.53515625
246,147295.0,52051.234375
247,391082.5,541023.7890625
248,281287.5,244988.73828125
249,239910.0,142906.171875
250,182070.0,91938.724609375
251,180337.5,81277.9638671875
252,347470.0,338467.484375
253,160077.5,71000.462890625
254,206510.0,117214.9970703125
255,247487.5,174577.234375
256,224855.0,141849.154296875
257,161697.5,70639.640625
258,172002.5,69957.3212890625
259,226330.0,135462.681640625
260,343532.5,394314.61328125
261,291542.5,280650.265625
262,292500.0,256051.966796875
263,401060.0,510599.75
264,762617.5,1943010.28125
265,382027.5,439036.234375
266,323467.5,314715.1171875
267,238407.5,139940.470703125
268,314177.5,289686.7109375
269,252225.0,202279.373046875
270,233700.0,148709.734375
271,211257.5,122624.802734375
272,346675.0,381374.015625
273,257352.5,202621.87890625
274,461917.5,699323.6328125
275,215850.0,136927.560546875
276,415557.5,578863.015625
277,245382.5,167859.89453125
278,457207.5,659911.09375
279,446465.0,567889.6328125
280,294212.5,299827.16796875
281,388340.0,467945.73046875
282,368502.5,493423.66796875
283,475875.0,815674.3359375
284,481275.0,996613.1796875
285,187290.0,72090.7900390625
286,199342.5,100714.013671875
287,168417.5,71145.96484375
288,359115.0,433662.66015625
289,444870.0,672613.6484375
290,266697.5,209886.3671875
291,313232.5,340682.8125
292,370480.0,414779.87109375
293,237837.5,159702.541015625
294,251922.5,167706.482421875
295,482770.0,848214.8046875
296,610597.5,1333738.8125
297,593260.0,1276689.71875
298,527570.0,1083337.890625
299,559680.0,1090620.484375
300,431610.0,651514.3203125
301,334175.0,329977.03125
302,453952.5,668339.6796875
303,314567.5,293422.671875
304,334252.5,347565.00390625
305,324147.5,322607.08984375
306,251607.5,199721.54296875
307,235702.5,155838.970703125
308,627545.0,1610519.0625
309,381415.0,402529.453125
310,268092.5,170262.4609375
311,328302.5,323651.20703125
312,584672.5,1232048.609375
313,364557.5,456892.0
314,266520.0,205377.212890625
315,565842.5,1232841.296875
316,316675.0,320868.2421875
317,368982.5,438828.24609375
318,236980.0,129544.232421875
319,441405.0,621547.9765625
320,273850.0,195958.017578125
321,426117.5,648155.96875
322,506932.5,840029.7265625
323,613062.5,1379703.46875
324,253185.0,180785.080078125
325,390870.0,559103.65625
326,674232.5,1748138.875
327,287872.5,287014.55078125
328,528020.0,989893.7109375
329,181182.5,83409.482421875
330,182955.0,73318.1923828125
331,979162.5,3650041.96875
332,669742.5,1488734.359375
333,469760.0,820584.796875
334,630937.5,1391062.609375
335,450915.0,665126.8046875
336,231837.5,152182.91015625
337,247610.0,177897.6328125
338,390595.0,520083.0
339,244805.0,167546.650390625
340,331695.0,356023.9609375
341,206137.5,107419.451171875
342,187217.5,78827.4951171875
343,276275.0,196404.75390625
344,671407.5,1809785.9375
345,657062.5,1830165.75
346,563340.0,1180737.65625
347,775237.5,2283858.84375
348,724227.5,1886221.203125
349,392050.0,523632.1953125
350,465587.5,684178.75
351,474650.0,794312.9453125
352,356077.5,375494.65625
353,688770.0,1897484.734375
354,249860.0,149713.490234375
355,207065.0,112057.9853515625
356,413872.5,555492.40625
357,680427.5,1739050.953125
358,650660.0,1574169.5
359,756027.5,2153617.5
360,949587.5,3855594.6875
361,1066350.0,4417779.0625
362,610885.0,1331800.34375
363,613620.0,1395519.078125
364,751137.5,2096057.59375
365,611947.5,1360967.890625
366,680595.0,1527842.484375
367,223875.0,104597.8857421875
368,527952.5,874183.7578125
369,257382.5,173731.08203125
370,595272.5,1215167.328125
371,318277.5,335920.94921875
372,365785.0,453536.0234375
373,395415.0,484904.91015625
374,331335.0,363084.625
375,386587.5,474025.40234375
376,383925.0,496917.41796875
377,194012.5,91451.310546875
378,310967.5,328504.97265625
379,292787.5,258563.193359375
380,205830.0,106475.21484375
381,202890.0,88669.2451171875
382,202750.0,102147.9921875
383,296185.0,264721.33203125
384,250420.0,131566.66015625
385,444692.5,642528.15625
386,582622.5,1173542.859375
387,421552.5,565391.4375
388,526730.0,934692.875
389,375862.5,463695.90625
390,482095.0,864321.0703125
391,392667.5,466261.49609375
392,420212.5,557918.921875
393,990947.5,3988327.09375
394,820522.5,2568112.84375
395,1023780.0,4176577.71875
396,1024475.0,4222071.5
397,937207.5,3413580.25
398,706590.0,1965709.3125
399,588570.0,1220743.640625
400,441222.5,707231.9296875
401,257770.0,177079.68359375
402,285127.5,248555.587890625
403,808517.5,2828434.71875
404,991002.5,3878493.1875
405,527662.5,1044081.8359375
406,684527.5,1876426.78125
407,716622.5,1897127.625
408,481120.0,668187.8359375
409,551307.5,1209549.96875
410,690002.5,1880292.234375
411,241265.0,160212.333984375
412,419432.5,625210.5078125
413,473590.0,790153.2265625
414,625415.0,1440399.8125
415,297295.0,242328.001953125
416,286797.5,234700.5859375
417,294195.0,236960.0
418,258622.5,162006.013671875
419,263387.5,208352.9140625
420,351630.0,373097.359375
421,265580.0,203224.318359375
422,217002.5,116824.7470703125
423,417340.0,535801.515625
424,380585.0,453847.8984375
425,310772.5,274582.1171875
426,276470.0,209502.134765625
427,324220.0,319631.91015625
428,146627.5,45326.96142578125
429,213132.5,108054.931640625
430,333745.0,314626.39453125
431,238980.0,145696.326171875
432,201592.5,81396.537109375
433,282677.5,247703.822265625
434,286970.0,237194.73046875
435,305295.0,262193.318359375
436,571100.0,1122970.84375
437,356750.0,460025.63671875
438,1065800.0,4650680.4375
439,799727.5,2478324.28125
440,621250.0,1416631.28125
441,538842.5,973397.7890625
442,402867.5,529860.890625
443,353027.5,380441.19921875
444,368052.5,388444.60546875
445,286587.5,226452.685546875
446,307055.0,300524.78125
447,347947.5,393341.08203125
448,355767.5,326714.25
449,274385.0,209162.49609375
450,423000.0,551300.9375
451,438377.5,657140.28125
452,330782.5,276081.2421875
453,447422.5,545048.1796875
454,327455.0,271929.91015625
455,239647.5,148181.53125
456,372327.5,447409.69921875
457,245685.0,152302.853515625
458,328485.0,324271.79296875
459,304925.0,227762.115234375
460,220125.0,111014.2734375
461,225345.0,103869.34765625
462,470400.0,713903.6640625
463,485297.5,750143.1015625
464,336917.5,308610.4453125
465,435845.0,544775.578125
466,329937.5,325948.72265625
467,375887.5,444959.046875
468,259780.0,176989.87890625
469,430607.5,546655.7890625
470,544182.5,1010788.765625
471,265087.5,197457.08203125
472,390927.5,445783.17578125
473,413565.0,585851.0234375
474,376565.0,436662.05859375
475,288052.5,209578.7109375
476,563715.0,1185381.390625
477,330415.0,326908.01953125
478,445600.0,538354.328125
479,352520.0,342766.5078125
480,227002.5,114127.255859375
481,371377.5,360855.31640625
482,333150.0,320129.04296875
483,353762.5,342099.78515625
484,341107.5,352176.8515625
485,232012.5,131604.021484375
486,225867.5,116584.349609375
487,375127.5,385093.23046875
488,236482.5,119692.556640625
489,289897.5,224617.5703125
490,327047.5,283717.14453125
491,260800.0,199955.328125
492,285807.5,230592.806640625
493,370897.5,399813.9921875
494,233180.0,127716.1201171875
495,226085.0,121370.6220703125
496,421655.0,560921.484375
497,363775.0,431005.48828125
498,431815.0,559418.7421875
499,556037.5,1071909.296875
500,526792.5,946312.6796875
501,398707.5,491499.3515625
502,472370.0,675306.921875
503,252140.0,156149.28515625
504,447215.0,666802.8359375
505,378672.5,460656.15625
506,343160.0,380000.41796875
507,381947.5,437884.31640625
508,441305.0,594448.0
509,424462.5,604492.9921875
510,343035.0,380468.82421875
511,471917.5,738271.09375
512,473045.0,757786.3125
513,490827.5,801961.4296875
514,480090.0,734798.421875
515,348605.0,359781.8828125
516,422247.5,598303.640625
517,339840.0,302145.90234375
518,429190.0,586598.4140625
519,213057.5,110543.693359375
520,482695.0,781963.1015625
521,434837.5,599859.6015625
522,371580.0,408242.578125
523,331355.0,285210.65234375
524,425675.0,457861.328125
525,201732.5,97055.9658203125
526,552797.5,904253.4375
527,459047.5,728691.7421875
528,286600.0,201695.869140625
529,325602.5,292960.3984375
530,294505.0,247505.9921875
531,268087.5,185535.86328125
532,320675.0,256160.8203125
533,323940.0,302858.2109375
534,275712.5,205394.25390625
535,295720.0,222819.248046875
536,481287.5,806949.953125
537,424487.5,581847.03125
538,396420.0,454635.15625
539,409775.0,497852.60546875
540,339707.5,301675.3671875
541,369790.0,424686.3515625
542,195637.5,83221.236328125
543,453725.0,642315.9453125
544,355945.0,325089.37109375
545,501350.0,881153.859375
546,383560.0,436356.77734375
547,281900.0,204793.998046875
548,415912.5,559348.7578125
549,214517.5,109993.46875
550,272767.5,181727.037109375
551,423227.5,550977.9296875
552,386845.0,457098.609375
553,325587.5,266996.17578125
554,380572.5,421962.1171875
555,225505.0,127413.916015625
556,225412.5,113554.6064453125
557,375217.5,434754.125
558,457615.0,657035.7734375
559,248575.0,143113.09375
560,451182.5,641812.578125
561,201567.5,93254.0458984375
562,354577.5,363169.3515625
563,188475.0,81352.9580078125
564,252290.0,158941.23046875
565,271587.5,172243.205078125
566,272972.5,205016.337890625
567,394385.0,470901.16015625
568,310067.5,272371.88671875
569,394257.5,526925.4296875
570,413575.0,521621.65625
571,500772.5,855088.6328125
572,424312.5,561182.6640625
573,342710.0,345176.1328125
574,353167.5,375930.953125
575,426052.5,597193.8203125
576,391835.0,474239.69921875
577,347935.0,353650.03125
578,339955.0,349011.35546875
579,349937.5,353505.2578125
580,305892.5,229426.236328125
581,241327.5,137882.791015625
582,290852.5,217270.1796875
583,384205.0,456409.50390625
584,458632.5,676099.2265625
585,423092.5,542203.75
586,396405.0,455968.90625
587,310385.0,258933.5078125
588,360792.5,391772.62890625
589,270330.0,190325.806640625
590,390182.5,478333.40625
591,309135.0,219472.583984375
592,262532.5,172220.904296875
593,316630.0,259368.515625
594,468840.0,605397.625
595,412225.0,467000.13671875
596,438590.0,497687.78125
597,342197.5,327022.28515625
598,363130.0,322421.6171875
599,317255.0,276705.32421875
600,217897.5,107481.5478515625
601,280450.0,212340.681640625
602,236517.5,127255.7802734375
603,215225.0,97372.13671875
604,290620.0,223734.40625
605,372287.5,414353.61328125
606,385200.0,423040.61328125
607,360865.0,351836.80859375
608,352600.0,357262.19921875
609,259785.0,143088.23828125
610,312340.0,261823.212890625
611,239830.0,128214.734375
612,288640.0,203720.251953125
613,342660.0,341260.88671875
614,179800.0,59577.154296875
615,311872.5,206368.88671875
616,375335.0,401835.4453125
617,283190.0,182781.7265625
618,251710.0,149912.70703125
619,463012.5,557293.5703125
620,430167.5,540676.359375
621,367690.0,357797.7734375
622,449930.0,527550.578125
623,371557.5,390743.05078125
624,408440.0,488422.20703125
625,268612.5,162902.453125
626,370060.0,376336.29296875
627,337197.5,300129.56640625
628,264790.0,158982.44921875
629,415697.5,524493.4375
630,357810.0,359391.4296875
631,419125.0,522921.0625
632,226935.0,129052.6416015625
633,208670.0,90005.7509765625
634,352447.5,351302.5859375
635,381565.0,436092.25
636,298152.5,201548.4453125
637,260020.0,144933.7421875
638,439465.0,591649.53125
639,399607.5,455069.98828125
640,407002.5,472911.89453125
641,414172.5,578445.9609375
642,319112.5,298739.3671875
643,240005.0,125300.546875
644,475775.0,678993.9765625
645,316690.0,253933.744140625
646,229090.0,113309.4306640625
647,250200.0,132161.759765625
648,405620.0,552905.9609375
649,356445.0,361216.0390625
650,271405.0,181998.96875
651,386142.5,465265.19140625
652,332170.0,296149.37109375
653,354512.5,319562.08203125
654,279705.0,188368.3515625
655,285580.0,202990.3671875
656,375420.0,365739.21875
657,439532.5,596673.890625
658,265605.0,167778.025390625
659,301415.0,241471.21875
660,346137.5,341036.30859375
661,265345.0,173221.455078125
