episode,environment_seed,epsilon,episode_reward,episode_cost,holding_cost,stockout_cost,ordering_cost,discarding_cost,steps,states_seen
1,794961877,1.0,-11183.425,1118342.5,197992.5,91000.0,17400.0,811950.0,50,30
2,36018463,0.9992,-7165.250000000001,716525.0,193465.0,61600.0,15760.0,445700.0,50,48
3,291043680,0.99840064,-9868.249999999998,986825.0,192035.0,52100.0,16840.0,725850.0,50,52
4,637695589,0.9976019194879999,-14713.074999999999,1471307.5,207187.5,337800.0,18320.0,908000.0,50,80
5,433056395,0.9968038379524095,-9610.724999999999,961072.5,196132.5,30800.0,17840.0,716300.0,50,82
6,364766336,0.9960063948820475,-11254.800000000001,1125480.0,199630.0,197700.0,16600.0,711550.0,50,93
7,823004999,0.9952095897661418,-11298.575,1129857.5,202267.5,223500.0,16640.0,687450.0,50,100
8,391493709,0.9944134220943289,-10651.15,1065115.0,199105.0,226300.0,15760.0,623950.0,50,105
9,972695891,0.9936178913566535,-7158.2249999999985,715822.5,189612.5,42000.0,15160.0,469050.0,50,115
10,543515192,0.9928229970435681,-7065.599999999999,706560.0,187670.0,44500.0,16640.0,457750.0,50,122
11,747250049,0.9920287386459332,-11525.275000000001,1152527.5,200707.5,235800.0,17720.0,698300.0,50,124
12,616309480,0.9912351156550164,-9509.250000000002,950925.0,192885.0,87300.0,17040.0,653700.0,50,138
13,941534041,0.9904421275624924,-9666.974999999999,966697.5,197717.5,157200.0,16880.0,594900.0,50,139
14,445524324,0.9896497738604424,-9492.75,949275.0,198335.0,216300.0,16240.0,518400.0,50,142
15,132024555,0.9888580540413541,-8300.674999999997,830067.5,194467.5,86600.0,15800.0,533200.0,50,145
16,920935653,0.988066967598121,-10658.350000000002,1065835.0,193245.0,197300.0,16840.0,658450.0,50,149
17,14790878,0.9872765140240425,-11949.399999999996,1194940.0,200600.0,184800.0,16840.0,792700.0,50,152
18,310788765,0.9864866928128232,-10089.349999999999,1008935.0,194225.0,154700.0,16360.0,643650.0,50,155
19,954681019,0.9856975034585729,-7830.824999999999,783082.5,189392.5,12400.0,16640.0,564650.0,50,158
20,632158873,0.984908945455806,-7759.600000000001,775960.0,187340.0,125500.0,15720.0,447400.0,50,161
21,280333510,0.9841210182994413,-9834.75,983475.0,193845.0,176700.0,16480.0,596450.0,50,165
22,883595084,0.9833337214848017,-11822.399999999996,1182240.0,194310.0,340200.0,16280.0,631450.0,50,173
23,68698633,0.9825470545076138,-11817.999999999998,1181800.0,198120.0,149700.0,17480.0,816500.0,50,174
24,168835113,0.9817610168640077,-8770.750000000002,877075.0,195395.0,52400.0,17080.0,612200.0,50,174
25,900277640,0.9809756080505165,-8894.65,889465.0,198225.0,184200.0,16040.0,491000.0,50,176
26,304006174,0.980190827564076,-7298.024999999998,729802.5,186032.5,152000.0,16720.0,375050.0,50,177
27,252983970,0.9794066749020248,-9257.475,925747.5,193387.5,132800.0,16160.0,583400.0,50,183
28,963010739,0.9786231495621032,-10688.900000000003,1068890.0,197920.0,206400.0,16920.0,647650.0,50,186
29,722938258,0.9778402510424534,-9517.925,951792.5,194752.5,92300.0,15840.0,648900.0,50,189
30,796202697,0.9770579788416195,-8238.675000000001,823867.5,189647.5,45600.0,16720.0,571900.0,50,190
31,558281379,0.9762763324585462,-7996.8,799680.0,188990.0,42000.0,16640.0,552050.0,50,191
32,398583138,0.9754953113925793,-8430.25,843025.0,190065.0,21200.0,16760.0,615000.0,50,192
33,368913646,0.9747149151434652,-8221.999999999998,822200.0,196150.0,15600.0,16200.0,594250.0,50,194
