episode,episode_cost,loss
1,1009470.0,13823222.0
2,1202582.5,20979410.0
3,849377.5,11120447.0
4,869837.5,11060381.0
5,907442.5,11202177.0
6,786875.0,9888401.0
7,662752.5,6647287.5
8,652005.0,5853723.5
9,828535.0,9006314.0
10,889137.5,14328773.0
11,723245.0,7787860.5
12,908730.0,12877544.0
13,854065.0,10670429.0
14,1030275.0,15098209.0
15,1138675.0,21836994.0
16,1134075.0,21630894.0
17,970117.5,12228059.0
18,1021250.0,16409774.0
19,779350.0,8386886.5
20,1184700.0,21371514.0
21,1049555.0,15736312.0
22,699650.0,7699957.0
23,722995.0,7363655.0
24,776582.5,8955864.0
25,911990.0,11529879.0
26,846750.0,10856663.0
27,919435.0,13067380.0
28,912695.0,12469198.0
29,1112335.0,17007546.0
30,845645.0,11384038.0
31,792825.0,10241985.0
32,755592.5,8681281.0
33,964935.0,12935354.0
34,675515.0,6594201.0
35,710552.5,7396102.0
36,866380.0,10708738.0
37,930347.5,11695740.0
38,1097210.0,16776310.0
39,939057.5,13163645.0
40,1039375.0,15273332.0
41,1058452.5,15886956.0
42,1146542.5,17332854.0
43,889560.0,11873385.0
44,938277.5,13356028.0
45,848997.5,9510150.0
46,867870.0,9721982.0
47,968902.5,12974522.0
48,904532.5,11749437.0
49,1073402.5,17074896.0
50,1023532.5,15339364.0
51,968327.5,13179387.0
52,866870.0,9379202.0
53,715617.5,7482910.0
54,948427.5,13506313.0
55,794165.0,9338559.0
56,758105.0,8632078.0
57,922835.0,11630607.0
58,988917.5,13184186.0
59,1014070.0,15303095.0
60,787892.5,8763900.0
61,979052.5,12443281.0
62,904830.0,11379077.0
63,927787.5,12092780.0
64,738220.0,7635613.5
65,964557.5,12005025.0
66,767645.0,7749830.0
67,929680.0,12171565.0
68,800495.0,8749108.0
69,879492.5,11712036.0
70,829820.0,9830371.0
71,859925.0,10477019.0
72,909477.5,13409908.0
73,662775.0,5542442.0
74,709887.5,7995609.0
75,911915.0,11767864.0
76,1024250.0,15627860.0
77,958090.0,12416970.0
78,837955.0,9553921.0
79,693547.5,7437659.5
80,874995.0,10413463.0
81,857097.5,10171115.0
82,969212.5,14539704.0
83,824975.0,9577085.0
84,831487.5,9784452.0
85,993842.5,14963597.0
86,828430.0,10370820.0
87,1082687.5,17422236.0
88,855020.0,10286401.0
89,759780.0,9112515.0
90,772480.0,8469638.0
91,688995.0,6327292.0
92,960652.5,11805311.0
93,790575.0,9473967.0
94,751682.5,8017566.5
95,826075.0,8835538.0
96,897865.0,12060278.0
97,915995.0,11857423.0
98,885802.5,11154673.0
99,811200.0,9321694.0
100,959075.0,12729012.0
101,839427.5,10977085.0
102,761452.5,8039378.5
103,795517.5,8862208.0
104,937862.5,13247510.0
105,762480.0,8085698.0
106,725765.0,7865755.0
107,891752.5,11467095.0
108,836907.5,10322241.0
109,988672.5,10981381.0
110,729200.0,7373625.0
111,712955.0,7480837.0
112,641527.5,5752750.0
113,688297.5,6682053.0
114,912405.0,11648724.0
115,822230.0,9917361.0
