episode,environment_seed,epsilon,episode_reward,episode_cost,holding_cost,stockout_cost,ordering_cost,discarding_cost,steps,states_seen
1,787174799,1.0,-6560.325000000001,656032.5,159882.5,35200.0,18400.0,442550.0,50,24
2,886466215,0.9985,-8253.65,825365.0,193815.0,2800.0,19600.0,609150.0,50,33
3,121179525,0.9970022500000001,-7361.549999999997,736155.0,194205.0,68800.0,18000.0,455150.0,50,38
4,657637695,0.9955067466250002,-6516.275000000001,651627.5,190927.5,38400.0,17200.0,405100.0,50,45
5,516489671,0.9940134865050627,-7678.0,767800.0,192550.0,30400.0,18000.0,526850.0,50,47
6,973746474,0.9925224662753052,-6744.400000000001,674440.0,181890.0,45200.0,18400.0,428950.0,50,54
7,831606529,0.9910336825758923,-5658.175,565817.5,175767.5,57600.0,17200.0,315250.0,50,58
8,960469361,0.9895471320520285,-8384.349999999999,838435.0,196235.0,58400.0,18400.0,565400.0,50,59
9,35577991,0.9880628113539505,-6559.9,655990.0,168940.0,104400.0,16000.0,366650.0,50,63
10,617562948,0.9865807171369196,-5701.325,570132.5,183432.5,20800.0,17600.0,348300.0,50,64
11,386769241,0.9851008460612143,-6157.949999999999,615795.0,193745.0,21100.0,18000.0,382950.0,50,72
12,376727791,0.9836231947921226,-8369.650000000001,836965.0,198115.0,0.0,18800.0,620050.0,50,72
13,53075520,0.9821477599999344,-5262.1,526210.0,187910.0,0.0,19200.0,319100.0,50,73
14,174175034,0.9806745383599346,-5560.349999999999,556035.0,190135.0,10800.0,18800.0,336300.0,50,73
15,326061810,0.9792035265523947,-5615.475,561547.5,182747.5,75600.0,18400.0,284800.0,50,75
16,426496694,0.9777347212625662,-5873.9,587390.0,178590.0,26400.0,18000.0,364400.0,50,78
17,616044667,0.9762681191806725,-7276.074999999997,727607.5,196457.5,48000.0,18000.0,465150.0,50,80
18,402499813,0.9748037170019015,-7382.55,738255.0,196405.0,20800.0,18800.0,502250.0,50,80
19,813286394,0.9733415114263987,-7818.625000000003,781862.5,190912.5,11200.0,20000.0,559750.0,50,81
20,725494878,0.9718814991592591,-7838.749999999999,783875.0,194075.0,53500.0,18400.0,517900.0,50,83
21,609171198,0.9704236769105203,-8120.850000000001,812085.0,187985.0,80400.0,18000.0,525700.0,50,85
22,959927325,0.9689680413951546,-5588.9,558890.0,184190.0,19300.0,18800.0,336600.0,50,87
23,888738478,0.9675145893330619,-6176.575,617657.5,182307.5,50800.0,16800.0,367750.0,50,89
24,923381109,0.9660633174490624,-8295.400000000001,829540.0,190690.0,71200.0,19200.0,548450.0,50,90
25,962896185,0.9646142224728889,-5805.950000000002,580595.0,185895.0,3200.0,18800.0,372700.0,50,91
26,912216208,0.9631673011391796,-7873.6,787360.0,188960.0,80800.0,19600.0,498000.0,50,91
27,735580623,0.9617225501874709,-6457.7,645770.0,193070.0,0.0,19200.0,433500.0,50,92
28,246717829,0.9602799663621897,-4893.95,489395.0,176845.0,15200.0,18800.0,278550.0,50,95
29,716220096,0.9588395464126465,-7670.574999999999,767057.5,185757.5,9600.0,18000.0,553700.0,50,97
30,357976457,0.9574012870930275,-6937.8,693780.0,186680.0,11200.0,18400.0,477500.0,50,99
31,99356524,0.955965185162388,-5824.6,582460.0,177160.0,13200.0,18800.0,373300.0,50,100
32,485275770,0.9545312373846445,-8003.725000000001,800372.5,198672.5,52800.0,18800.0,530100.0,50,100
33,673744131,0.9530994405285677,-7450.849999999998,745085.0,192185.0,48800.0,18400.0,485700.0,50,102
34,51344058,0.9516697913677749,-10636.200000000003,1063620.0,198820.0,31600.0,19200.0,814000.0,50,102
35,349214576,0.9502422866807232,-7364.099999999999,736410.0,195810.0,46000.0,18800.0,475800.0,50,102
36,576140750,0.9488169232507021,-8493.774999999998,849377.5,190527.5,54000.0,18400.0,586450.0,50,102
37,770185270,0.9473936978658261,-5920.224999999999,592022.5,186922.5,50400.0,17200.0,337500.0,50,103
38,537106938,0.9459726073190273,-5277.825,527782.5,170282.5,3200.0,19200.0,335100.0,50,107
39,612715663,0.9445536484080488,-7268.425,726842.5,194292.5,34800.0,19600.0,478150.0,50,107
40,734126583,0.9431368179354368,-8616.1,861610.0,195760.0,118800.0,18400.0,528650.0,50,108
41,375183091,0.9417221127085337,-8003.225,800322.5,192872.5,0.0,18000.0,589450.0,50,108
42,597316104,0.9403095295394709,-6594.324999999999,659432.5,185182.5,14900.0,18400.0,440950.0,50,113
43,37567736,0.9388990652451618,-5958.950000000001,595895.0,182195.0,77100.0,17200.0,319400.0,50,118
44,604379492,0.9374907166472941,-4558.1,455810.0,176660.0,4800.0,18000.0,256350.0,50,119
45,184193214,0.9360844805723232,-7099.799999999999,709980.0,190380.0,24800.0,18800.0,476000.0,50,119
46,316178201,0.9346803538514648,-6780.275,678027.5,189577.5,0.0,18800.0,469650.0,50,120
47,813561280,0.9332783333206877,-6071.675,607167.5,188967.5,39200.0,18800.0,360200.0,50,120
48,412829189,0.9318784158207066,-7292.4,729240.0,187790.0,50400.0,19200.0,471850.0,50,120
49,839324576,0.9304805981969756,-6264.275,626427.5,187577.5,2400.0,18000.0,418450.0,50,120
50,921923199,0.9290848772996801,-6413.950000000001,641395.0,189695.0,68800.0,18800.0,364100.0,50,120
51,442904477,0.9276912499837306,-7539.45,753945.0,167145.0,9600.0,18400.0,558800.0,50,127
52,654321289,0.9262997131087551,-7957.125,795712.5,194712.5,47600.0,18400.0,535000.0,50,127
53,291093813,0.924910263539092,-8684.875000000004,868487.5,197187.5,104000.0,18800.0,548500.0,50,127
54,4125594,0.9235228981437834,-6632.950000000001,663295.0,184345.0,8400.0,18000.0,452550.0,50,129
55,921309710,0.9221376137965678,-8191.275,819127.5,191527.5,59200.0,18000.0,550400.0,50,129
56,81106987,0.920754407375873,-6435.075000000002,643507.5,188307.5,33600.0,18400.0,403200.0,50,129
57,940608750,0.9193732757648092,-7183.450000000001,718345.0,194795.0,77600.0,18800.0,427150.0,50,129
58,118234346,0.917994215851162,-7532.975000000001,753297.5,187197.5,126400.0,17200.0,422500.0,50,129
59,693090808,0.9166172245273854,-7989.675,798967.5,193867.5,86000.0,18800.0,500300.0,50,129
60,479383792,0.9152422986905944,-8024.750000000001,802475.0,176725.0,62200.0,18800.0,544750.0,50,138
61,242869181,0.9138694352425585,-7342.6,734260.0,190210.0,1200.0,18400.0,524450.0,50,138
62,145033816,0.9124986310896946,-7292.849999999999,729285.0,185235.0,21600.0,18400.0,504050.0,50,139
63,232635114,0.9111298831430602,-7447.374999999998,744737.5,192487.5,65600.0,18800.0,467850.0,50,139
64,670980548,0.9097631883183457,-6723.874999999999,672387.5,187687.5,29600.0,17600.0,437500.0,50,139
65,271353044,0.9083985435358682,-7145.725,714572.5,194472.5,25600.0,19200.0,475300.0,50,139
66,759806254,0.9070359457205645,-7709.374999999998,770937.5,194037.5,64000.0,17600.0,495300.0,50,139
67,311352865,0.9056753918019836,-8522.050000000001,852205.0,195005.0,125200.0,17200.0,514800.0,50,139
68,654631424,0.9043168787142807,-5118.725000000001,511872.5,180572.5,27600.0,17600.0,286100.0,50,140
69,779318872,0.9029604033962093,-6291.599999999999,629160.0,188710.0,48800.0,17600.0,374050.0,50,144
70,285290017,0.901605962791115,-6645.324999999999,664532.5,192132.5,16800.0,18800.0,436800.0,50,144
71,400762464,0.9002535538469284,-6092.425000000002,609242.5,186342.5,48000.0,19200.0,355700.0,50,144
72,905411706,0.898903173516158,-7646.625,764662.5,198212.5,58000.0,18000.0,490450.0,50,145
73,645002533,0.8975548187558838,-5764.750000000001,576475.0,167975.0,70800.0,17200.0,320500.0,50,145
74,530631566,0.8962084865277501,-7237.525,723752.5,187952.5,50000.0,17600.0,468200.0,50,146
75,751890340,0.8948641737979585,-7591.049999999997,759105.0,198455.0,71200.0,18400.0,471050.0,50,146
76,407530062,0.8935218775372615,-4210.924999999999,421092.5,169192.5,25200.0,16800.0,209900.0,50,148
77,145334393,0.8921815947209557,-7502.200000000002,750220.0,182770.0,22000.0,18800.0,526650.0,50,151
78,265330084,0.8908433223288743,-7157.749999999999,715775.0,189025.0,67200.0,17200.0,442350.0,50,153
79,943423610,0.889507057345381,-5800.35,580035.0,176485.0,7200.0,18000.0,378350.0,50,153
80,750242210,0.888172796759363,-6095.225000000001,609522.5,190822.5,34400.0,17600.0,366700.0,50,153
81,574341792,0.886840537564224,-6565.300000000002,656530.0,190630.0,2800.0,19600.0,443500.0,50,154
82,720119117,0.8855102767578777,-7911.375000000001,791137.5,192937.5,400.0,19200.0,578600.0,50,154
83,52528710,0.884182011342741,-8858.4,885840.0,192490.0,60400.0,18000.0,614950.0,50,154
84,971105390,0.882855738325727,-6269.699999999999,626970.0,186020.0,60400.0,17600.0,362950.0,50,154
85,602718016,0.8815314547182383,-6095.050000000001,609505.0,194705.0,1600.0,18000.0,395200.0,50,154
86,342078954,0.880209157536161,-7328.875,732887.5,177437.5,77600.0,18000.0,459850.0,50,155
87,509400483,0.8788888437998569,-6249.225000000002,624922.5,190622.5,4000.0,18800.0,411500.0,50,156
88,752572820,0.8775705105341571,-7033.125,703312.5,191912.5,29200.0,17200.0,465000.0,50,156
89,144544531,0.876254154768356,-5655.325000000001,565532.5,177232.5,26800.0,18000.0,343500.0,50,158
90,262692225,0.8749397735362036,-6407.474999999999,640747.5,187697.5,79200.0,17600.0,356250.0,50,158
91,26703480,0.8736273638758993,-7078.999999999999,707900.0,182450.0,26000.0,17600.0,481850.0,50,158
92,107351148,0.8723169228300856,-7435.55,743555.0,187355.0,100000.0,19600.0,436600.0,50,158
93,929820058,0.8710084474458405,-5963.55,596355.0,177955.0,29600.0,17200.0,371600.0,50,158
94,886295752,0.8697019347746718,-5991.125000000001,599112.5,188912.5,27200.0,17600.0,365400.0,50,158
95,77288927,0.8683973818725099,-9238.1,923810.0,182910.0,91700.0,18400.0,630800.0,50,163
96,337921181,0.8670947857997012,-5256.375000000001,525637.5,177187.5,60800.0,17600.0,270050.0,50,165
97,580843923,0.8657941436210017,-4294.249999999999,429425.0,165975.0,48800.0,16400.0,198250.0,50,167
98,602105656,0.8644954524055702,-8419.675000000001,841967.5,195567.5,101600.0,18400.0,526400.0,50,169
99,90790512,0.863198709226962,-4104.724999999999,410472.5,167422.5,52400.0,15600.0,175050.0,50,169
100,254512951,0.8619039111631216,-3804.725,380472.5,170872.5,41600.0,16000.0,152000.0,50,169
101,82452190,0.8606110552963769,-7217.475,721747.5,195347.5,51200.0,17600.0,457600.0,50,170
102,609545181,0.8593201387134324,-6010.5,601050.0,187000.0,7200.0,16800.0,390050.0,50,170
103,485830877,0.8580311585053623,-5669.849999999999,566985.0,192685.0,40800.0,18000.0,315500.0,50,170
104,636581456,0.8567441117676042,-5458.450000000002,545845.0,181795.0,28000.0,17600.0,318450.0,50,170
105,869364939,0.8554589955999529,-8021.699999999999,802170.0,189970.0,95300.0,17200.0,499700.0,50,172
106,157465806,0.8541758071065529,-7924.900000000001,792490.0,184790.0,89600.0,18000.0,500100.0,50,172
107,870253125,0.8528945433958932,-6396.924999999998,639692.5,190342.5,122800.0,16400.0,310150.0,50,172
108,481709729,0.8516152015807994,-7909.374999999998,790937.5,181437.5,52400.0,16800.0,540300.0,50,172
109,909691455,0.8503377787784282,-4994.850000000001,499485.0,182385.0,30400.0,16400.0,270300.0,50,174
110,304628943,0.8490622721102606,-4086.05,408605.0,169005.0,10000.0,17600.0,212000.0,50,177
111,946769257,0.8477886787020953,-9199.424999999997,919942.5,198642.5,82800.0,18400.0,620100.0,50,177
112,490603006,0.8465169956840422,-5402.25,540225.0,181175.0,47600.0,16800.0,294650.0,50,177
113,977731096,0.8452472201905161,-6273.450000000001,627345.0,189745.0,70000.0,18000.0,349600.0,50,177
114,191867481,0.8439793493602304,-5117.799999999999,511780.0,178780.0,35500.0,16800.0,280700.0,50,179
115,781754975,0.8427133803361901,-4584.325000000001,458432.5,171532.5,7600.0,15600.0,263700.0,50,180
116,963549045,0.8414493102656859,-5924.574999999999,592457.5,188107.5,83600.0,16400.0,304350.0,50,180
117,352396682,0.8401871363002874,-7438.099999999999,743810.0,179360.0,48300.0,17600.0,498550.0,50,183
118,763462574,0.838926855595837,-8553.15,855315.0,190765.0,36300.0,18400.0,609850.0,50,184
119,773955641,0.8376684653124433,-4758.400000000001,475840.0,176140.0,15600.0,16800.0,267300.0,50,184
120,952395202,0.8364119626144747,-5741.35,574135.0,185835.0,32300.0,17200.0,338800.0,50,184
121,149725537,0.835157344670553,-6282.074999999999,628207.5,171807.5,39200.0,18400.0,398800.0,50,184
122,753807676,0.8339046086535472,-8138.224999999998,813822.5,187872.5,24800.0,18000.0,583150.0,50,184
123,888480325,0.8326537517405669,-5045.85,504585.0,179335.0,41200.0,16800.0,267250.0,50,185
124,397127318,0.8314047711129561,-5242.799999999999,524280.0,174330.0,11800.0,18400.0,319750.0,50,190
125,97040247,0.8301576639562867,-7426.4249999999965,742642.5,187542.5,96800.0,16800.0,441500.0,50,190
126,118348385,0.8289124274603523,-4761.424999999999,476142.5,170892.5,68000.0,16400.0,220850.0,50,190
127,960624694,0.8276690588191619,-9053.9,905390.0,187290.0,168800.0,16800.0,532500.0,50,191
128,841078171,0.8264275552309331,-5653.725000000001,565372.5,183822.5,19600.0,16400.0,345550.0,50,192
129,252123314,0.8251879138980868,-6951.874999999997,695187.5,185637.5,0.0,18400.0,491150.0,50,192
130,553562747,0.8239501320272397,-4605.224999999999,460522.5,168222.5,67600.0,17200.0,207500.0,50,192
131,43122751,0.8227142068291988,-5458.3,545830.0,187280.0,41000.0,18000.0,299550.0,50,194
132,798860758,0.821480135518955,-6724.424999999998,672442.5,192242.5,11200.0,17600.0,451400.0,50,194
133,950235001,0.8202479153156766,-5489.100000000001,548910.0,187960.0,29600.0,15600.0,315750.0,50,194
134,868616592,0.8190175434427032,-8081.675000000002,808167.5,184667.5,177600.0,15600.0,430300.0,50,194
135,810473065,0.8177890171275392,-6878.974999999999,687897.5,179647.5,17200.0,17600.0,473450.0,50,196
136,894010739,0.8165623336018479,-8255.875,825587.5,195387.5,25800.0,18400.0,586000.0,50,198
137,732685251,0.8153374901014452,-8991.374999999996,899137.5,198087.5,107600.0,18000.0,575450.0,50,198
138,816304282,0.814114483866293,-6133.200000000001,613320.0,187070.0,81600.0,17200.0,327450.0,50,198
139,679172840,0.8128933121404937,-6329.025,632902.5,188052.5,9200.0,18400.0,417250.0,50,198
140,463412271,0.811673972172283,-4222.1,422210.0,172010.0,24800.0,16400.0,209000.0,50,199
141,390501847,0.8104564612140246,-4136.675000000001,413667.5,169717.5,29600.0,16400.0,197950.0,50,199
142,880601741,0.8092407765222036,-5312.924999999999,531292.5,182292.5,103600.0,18000.0,227400.0,50,199
143,688920376,0.8080269153574203,-5686.850000000002,568685.0,179085.0,46000.0,16000.0,327600.0,50,199
144,20566235,0.8068148749843842,-5754.950000000001,575495.0,176145.0,17600.0,17600.0,364150.0,50,200
145,328166579,0.8056046526719076,-5985.550000000001,598555.0,180355.0,23800.0,17200.0,377200.0,50,202
146,929203367,0.8043962456928998,-6534.949999999998,653495.0,180495.0,36800.0,18000.0,418200.0,50,203
147,13532528,0.8031896513243605,-6542.650000000001,654265.0,195465.0,23100.0,19600.0,416100.0,50,203
148,738009818,0.801984866847374,-6188.550000000001,618855.0,180405.0,33300.0,18000.0,387150.0,50,204
149,23318275,0.800781889547103,-4611.325000000002,461132.5,176282.5,13900.0,16000.0,254950.0,50,206
150,119849332,0.7995807167127824,-6834.0,683400.0,189200.0,95600.0,16800.0,381800.0,50,206
151,400174827,0.7983813456377132,-5704.699999999998,570470.0,187070.0,16400.0,18400.0,348600.0,50,206
152,125715779,0.7971837736192567,-6386.024999999998,638602.5,192852.5,56400.0,16800.0,372550.0,50,207
153,840267200,0.7959879979588279,-5646.575,564657.5,177407.5,17200.0,15600.0,354450.0,50,207
154,174595472,0.7947940159618897,-4595.375,459537.5,188837.5,7600.0,17600.0,245500.0,50,207
155,26241312,0.793601824937947,-5741.624999999999,574162.5,188112.5,33200.0,16400.0,336450.0,50,207
156,931643058,0.7924114222005401,-4773.775,477377.5,183827.5,1600.0,16400.0,275550.0,50,207
157,540027621,0.7912228050672393,-6167.35,616735.0,173885.0,69700.0,16400.0,356750.0,50,209
158,698096499,0.7900359708596385,-6297.725,629772.5,185472.5,25200.0,17200.0,401900.0,50,210
159,278886734,0.7888509169033491,-6446.724999999999,644672.5,171372.5,93200.0,18000.0,362100.0,50,212
