episode,episode_cost,episode_reward,epsilon,states_seen
1,810805.0,-8108.049999999999,1.0,28
2,878665.0,-8786.65,0.9992,42
3,626810.0,-6268.1,0.99840064,66
4,1028232.5,-10282.325,0.9976019194879999,74
5,776560.0,-7765.600000000001,0.9968038379524095,80
6,826405.0,-8264.05,0.9960063948820475,90
7,836935.0,-8369.349999999999,0.9952095897661418,98
8,919087.5,-9190.875,0.9944134220943289,113
9,782820.0,-7828.2000000000035,0.9936178913566535,113
10,1069917.5,-10699.175,0.9928229970435681,125
11,1090632.5,-10906.324999999999,0.9920287386459332,128
12,677547.5,-6775.474999999999,0.9912351156550164,130
13,936270.0,-9362.699999999999,0.9904421275624924,132
14,873360.0,-8733.6,0.9896497738604424,142
15,1093765.0,-10937.649999999996,0.9888580540413541,147
16,746540.0,-7465.4000000000015,0.988066967598121,152
17,932552.5,-9325.525,0.9872765140240425,161
18,1214347.5,-12143.475000000002,0.9864866928128232,164
19,762510.0,-7625.100000000002,0.9856975034585729,168
20,862150.0,-8621.499999999998,0.984908945455806,174
21,732805.0,-7328.049999999999,0.9841210182994413,177
22,708627.5,-7086.275,0.9833337214848017,179
23,967145.0,-9671.450000000003,0.9825470545076138,187
24,1130160.0,-11301.599999999999,0.9817610168640077,188
25,928250.0,-9282.500000000002,0.9809756080505165,190
26,822820.0,-8228.2,0.980190827564076,191
27,660702.5,-6607.025000000001,0.9794066749020248,198
28,924960.0,-9249.6,0.9786231495621032,205
29,937040.0,-9370.4,0.9778402510424534,208
30,1143572.5,-11435.725,0.9770579788416195,209
31,950012.5,-9500.125000000002,0.9762763324585462,210
32,955515.0,-9555.15,0.9754953113925793,211
33,750280.0,-7502.800000000003,0.9747149151434652,222
34,1181152.5,-11811.525,0.9739351432113504,233
35,1006242.5,-10062.425,0.9731559950967813,235
36,917537.5,-9175.375000000002,0.9723774703007039,238
37,935542.5,-9355.425000000001,0.9715995683244633,240
38,869352.5,-8693.524999999998,0.9708222886698037,241
39,1110890.0,-11108.9,0.9700456308388679,241
40,1064440.0,-10644.400000000001,0.9692695943341968,248
41,998670.0,-9986.699999999997,0.9684941786587294,248
42,1094872.5,-10948.725,0.9677193833158024,252
43,895610.0,-8956.1,0.9669452078091497,256
44,879685.0,-8796.85,0.9661716516429024,257
45,871012.5,-8710.125,0.9653987143215881,260
46,1016062.5,-10160.624999999998,0.9646263953501308,271
47,963220.0,-9632.2,0.9638546942338507,271
48,674765.0,-6747.650000000001,0.9630836104784636,274
49,742247.5,-7422.474999999999,0.9623131435900808,282
50,1006972.5,-10069.724999999999,0.9615432930752087,283
51,1082452.5,-10824.525000000003,0.9607740584407485,284
52,820480.0,-8204.800000000003,0.9600054391939958,284
53,733625.0,-7336.250000000002,0.9592374348426406,288
54,1093560.0,-10935.600000000002,0.9584700448947664,289
55,924302.5,-9243.025,0.9577032688588506,293
56,935765.0,-9357.649999999998,0.9569371062437635,295
57,931252.5,-9312.525000000001,0.9561715565587685,295
58,822745.0,-8227.45,0.9554066193135214,298
59,785422.5,-7854.225,0.9546422940180707,298
60,761502.5,-7615.025000000001,0.9538785801828562,299
61,1091575.0,-10915.75,0.9531154773187099,299
62,902802.5,-9028.024999999998,0.9523529849368549,303
63,1078767.5,-10787.675,0.9515911025489054,303
64,959870.0,-9598.7,0.9508298296668662,303
65,880570.0,-8805.7,0.9500691658031327,303
66,716827.5,-7168.275000000001,0.9493091104704902,306
67,922037.5,-9220.374999999998,0.9485496631821138,306
68,925532.5,-9255.325000000003,0.9477908234515681,307
69,786092.5,-7860.924999999998,0.9470325907928068,307
70,953895.0,-9538.949999999997,0.9462749647201725,307
71,886240.0,-8862.400000000001,0.9455179447483963,307
72,666560.0,-6665.600000000001,0.9447615303925976,312
73,786812.5,-7868.125000000001,0.9440057211682835,312
74,864487.5,-8644.875,0.9432505165913488,312
75,834015.0,-8340.15,0.9424959161780757,313
76,953260.0,-9532.600000000002,0.9417419194451332,313
77,716052.5,-7160.5250000000015,0.940988525909577,315
78,953087.5,-9530.875,0.9402357350888494,323
79,919595.0,-9195.95,0.9394835465007783,324
80,931677.5,-9316.775,0.9387319596635776,326
81,1035302.5,-10353.025000000001,0.9379809740958467,328
82,1164537.5,-11645.375000000004,0.93723058931657,329
83,853207.5,-8532.075,0.9364808048451168,330
84,927097.5,-9270.974999999999,0.9357316202012407,331
85,813580.0,-8135.8,0.9349830349050796,331
86,779612.5,-7796.124999999998,0.9342350484771555,332
87,737190.0,-7371.900000000001,0.9334876604383738,335
88,812455.0,-8124.55,0.9327408703100231,335
89,854912.5,-8549.125,0.931994677613775,335
90,867865.0,-8678.65,0.931249081871684,335
91,1172770.0,-11727.699999999999,0.9305040826061867,335
92,795960.0,-7959.600000000002,0.9297596793401017,335
93,924247.5,-9242.475,0.9290158715966296,337
94,894732.5,-8947.325,0.9282726588993523,342
95,1101235.0,-11012.350000000004,0.9275300407722328,343
96,1121122.5,-11211.225,0.926788016739615,345
97,725612.5,-7256.124999999998,0.9260465863262233,346
98,782572.5,-7825.7249999999985,0.9253057490571622,346
99,910665.0,-9106.65,0.9245655044579165,346
100,1032597.5,-10325.975,0.9238258520543502,347
101,896052.5,-8960.525000000001,0.9230867913727067,348
102,750642.5,-7506.424999999999,0.9223483219396085,348
103,899805.0,-8998.05,0.9216104432820568,351
104,933975.0,-9339.75,0.920873154927431,352
105,980085.0,-9800.850000000004,0.9201364564034891,355
106,941695.0,-9416.95,0.9194003472383663,356
107,949375.0,-9493.75,0.9186648269605756,356
108,1256730.0,-12567.299999999994,0.9179298950990071,358
109,824097.5,-8240.975,0.917195551182928,358
110,1062715.0,-10627.149999999998,0.9164617947419816,361
111,936662.5,-9366.625000000002,0.915728625306188,362
112,1002947.5,-10029.475,0.914996042405943,362
113,835852.5,-8358.525,0.9142640455720182,362
114,856775.0,-8567.75,0.9135326343355606,362
115,1060635.0,-10606.349999999999,0.9128018082280922,362
116,940932.5,-9409.325,0.9120715667815097,362
117,890407.5,-8904.074999999999,0.9113419095280845,362
118,1197145.0,-11971.449999999999,0.910612836000462,362
119,927425.0,-9274.250000000002,0.9098843457316615,363
120,1012592.5,-10125.925,0.9091564382550762,363
121,694172.5,-6941.725,0.9084291131044722,367
122,782592.5,-7825.925000000001,0.9077023698139886,368
123,963492.5,-9634.924999999996,0.9069762079181374,368
124,1075665.0,-10756.650000000003,0.9062506269518028,369
125,886512.5,-8865.125,0.9055256264502414,369
126,807955.0,-8079.55,0.9048012059490812,370
127,1002340.0,-10023.4,0.9040773649843219,371
128,952035.0,-9520.349999999997,0.9033541030923344,372
129,930945.0,-9309.449999999999,0.9026314198098605,372
130,1005352.5,-10053.525,0.9019093146740126,376
131,707265.0,-7072.649999999999,0.9011877872222733,376
132,818575.0,-8185.750000000001,0.9004668369924955,376
133,923220.0,-9232.2,0.8997464635229016,376
134,777747.5,-7777.475000000001,0.8990266663520832,376
135,833087.5,-8330.875,0.8983074450190015,376
136,1320880.0,-13208.800000000001,0.8975887990629863,376
137,1105235.0,-11052.349999999997,0.8968707280237359,376
138,607742.5,-6077.424999999998,0.8961532314413169,377
139,818215.0,-8182.149999999999,0.8954363088561638,377
140,691795.0,-6917.949999999999,0.8947199598090788,385
141,754890.0,-7548.900000000002,0.8940041838412315,386
142,936072.5,-9360.725000000002,0.8932889804941585,386
143,973395.0,-9733.949999999997,0.8925743493097632,388
144,849312.5,-8493.124999999998,0.8918602898303154,388
145,721315.0,-7213.149999999998,0.8911468015984512,388
146,945712.5,-9457.125,0.8904338841571724,389
147,831187.5,-8311.875,0.8897215370498467,389
148,940610.0,-9406.1,0.8890097598202068,391
149,722902.5,-7229.0250000000015,0.8882985520123506,391
150,1103845.0,-11038.450000000003,0.8875879131707407,391
151,974660.0,-9746.6,0.8868778428402041,393
152,746047.5,-7460.474999999999,0.886168340565932,393
153,566915.0,-5669.15,0.8854594058934792,399
154,848325.0,-8483.250000000002,0.8847510383687643,400
155,704125.0,-7041.25,0.8840432375380693,402
156,1309940.0,-13099.400000000003,0.8833360029480388,402
157,895305.0,-8953.050000000001,0.8826293341456803,402
158,1058007.5,-10580.074999999997,0.8819232306783638,402
159,990187.5,-9901.875000000002,0.8812176920938211,402
160,890170.0,-8901.7,0.880512717940146,402
161,816322.5,-8163.225,0.8798083077657938,402
162,1242922.5,-12429.224999999999,0.8791044611195811,404
163,851347.5,-8513.475000000002,0.8784011775506854,405
164,1091245.0,-10912.449999999997,0.8776984566086448,405
165,1120082.5,-11200.824999999999,0.8769962978433579,405
166,967147.5,-9671.474999999997,0.8762947008050832,405
167,1344352.5,-13443.525000000001,0.8755936650444391,408
168,938950.0,-9389.5,0.8748931901124035,408
169,866337.5,-8663.375,0.8741932755603136,409
170,894760.0,-8947.6,0.8734939209398653,410
171,817485.0,-8174.849999999998,0.8727951258031135,411
172,964002.5,-9640.025,0.872096889702471,411
173,1152970.0,-11529.699999999999,0.871399212190709,412
174,929207.5,-9292.075,0.8707020928209565,412
175,985995.0,-9859.95,0.8700055311466997,413
176,920245.0,-9202.450000000003,0.8693095267217823,413
177,952870.0,-9528.700000000003,0.8686140791004049,413
178,898705.0,-8987.05,0.8679191878371245,413
179,636165.0,-6361.65,0.8672248524868548,418
180,1190870.0,-11908.699999999999,0.8665310726048653,421
181,1114210.0,-11142.100000000002,0.8658378477467814,421
182,875820.0,-8758.200000000003,0.865145177468584,423
183,1106882.5,-11068.824999999999,0.8644530613266092,423
184,698840.0,-6988.4000000000015,0.8637614988775478,424
185,917455.0,-9174.55,0.8630704896784458,424
186,676957.5,-6769.574999999999,0.862380033286703,424
187,802062.5,-8020.625000000001,0.8616901292600736,424
188,943750.0,-9437.5,0.8610007771566656,424
189,892007.5,-8920.074999999999,0.8603119765349402,424
190,875555.0,-8755.55,0.8596237269537123,424
191,707912.5,-7079.125000000002,0.8589360279721493,424
192,1000347.5,-10003.474999999999,0.8582488791497715,424
193,1094005.0,-10940.05,0.8575622800464517,425
194,823595.0,-8235.949999999999,0.8568762302224145,427
195,868065.0,-8680.649999999998,0.8561907292382366,427
196,871962.5,-8719.625,0.855505776654846,427
197,706757.5,-7067.575,0.854821372033522,427
198,964662.5,-9646.624999999996,0.8541375149358952,427
199,1125082.5,-11250.825,0.8534542049239464,427
200,823880.0,-8238.8,0.8527714415600073,427
201,876945.0,-8769.45,0.8520892244067593,428
202,729382.5,-7293.824999999999,0.8514075530272338,428
203,860862.5,-8608.624999999998,0.850726426984812,429
204,1017812.5,-10178.125000000004,0.8500458458432242,432
205,776730.0,-7767.299999999998,0.8493658091665496,432
206,974195.0,-9741.949999999999,0.8486863165192163,432
207,1044852.5,-10448.525000000001,0.8480073674660009,432
208,939890.0,-9398.9,0.8473289615720281,433
209,1090672.5,-10906.725000000002,0.8466510984027704,434
210,842282.5,-8422.824999999999,0.8459737775240482,435
211,854015.0,-8540.15,0.845296998502029,435
212,824430.0,-8244.300000000001,0.8446207609032274,435
213,1181152.5,-11811.524999999998,0.8439450642945048,439
214,669505.0,-6695.05,0.8432699082430691,444
215,938432.5,-9384.324999999999,0.8425952923164747,444
216,974520.0,-9745.199999999999,0.8419212160826215,444
217,732197.5,-7321.974999999999,0.8412476791097554,445
218,827187.5,-8271.875,0.8405746809664676,446
219,861000.0,-8610.0,0.8399022212216944,446
220,686287.5,-6862.874999999999,0.839230299444717,446
221,559502.5,-5595.025,0.8385589152051612,446
222,919442.5,-9194.425,0.8378880680729971,446
223,746247.5,-7462.474999999999,0.8372177576185387,450
224,972812.5,-9728.124999999998,0.8365479834124439,451
225,851080.0,-8510.799999999997,0.8358787450257139,451
226,954595.0,-9545.949999999999,0.8352100420296933,451
227,1079300.0,-10792.999999999998,0.8345418739960695,451
228,807592.5,-8075.924999999997,0.8338742404968726,457
229,867995.0,-8679.949999999997,0.8332071411044751,457
230,881220.0,-8812.2,0.8325405753915915,457
231,902747.5,-9027.475,0.8318745429312783,458
232,1045485.0,-10454.85,0.8312090432969332,458
233,1314940.0,-13149.400000000001,0.8305440760622956,459
234,956515.0,-9565.150000000001,0.8298796408014458,459
235,798027.5,-7980.275000000001,0.8292157370888047,459
236,876127.5,-8761.274999999998,0.8285523644991336,459
237,1236677.5,-12366.775,0.8278895226075342,460
238,840600.0,-8406.000000000002,0.8272272109894482,460
239,725840.0,-7258.4,0.8265654292206566,461
240,835647.5,-8356.475000000002,0.82590417687728,462
241,1062682.5,-10626.824999999999,0.8252434535357782,462
242,894787.5,-8947.875,0.8245832587729496,462
243,815290.0,-8152.899999999999,0.8239235921659313,462
244,908350.0,-9083.500000000002,0.8232644532921984,463
245,915625.0,-9156.25,0.8226058417295646,463
246,1130810.0,-11308.100000000002,0.821947757056181,463
247,949457.5,-9494.574999999999,0.821290198850536,463
248,714287.5,-7142.875,0.8206331666914556,463
249,1138207.5,-11382.075,0.8199766601581024,463
250,812447.5,-8124.475,0.819320678829976,463
251,797955.0,-7979.55,0.818665222286912,463
252,1108680.0,-11086.799999999997,0.8180102901090824,463
253,1035307.5,-10353.075000000004,0.8173558818769951,464
254,622757.5,-6227.575000000001,0.8167019971714935,467
255,1325720.0,-13257.199999999999,0.8160486355737563,467
256,624675.0,-6246.75,0.8153957966652973,468
257,1188190.0,-11881.899999999998,0.814743480027965,468
258,1035850.0,-10358.500000000004,0.8140916852439426,470
259,838852.5,-8388.525,0.8134404118957475,470
260,1054955.0,-10549.550000000001,0.8127896595662308,471
261,1243027.5,-12430.274999999998,0.8121394278385778,471
262,912542.5,-9125.424999999997,0.811489716296307,471
263,820340.0,-8203.399999999998,0.8108405245232699,471
264,785332.5,-7853.324999999999,0.8101918521036513,471
265,935205.0,-9352.05,0.8095436986219684,475
266,759432.5,-7594.324999999998,0.8088960636630708,476
267,972915.0,-9729.149999999998,0.8082489468121403,476
268,860947.5,-8609.475000000002,0.8076023476546906,477
269,1011182.5,-10111.824999999999,0.8069562657765669,477
270,1042877.5,-10428.775000000001,0.8063107007639456,477
271,841560.0,-8415.600000000002,0.8056656522033344,477
272,1077142.5,-10771.424999999997,0.8050211196815718,477
273,1095627.5,-10956.274999999998,0.8043771027858265,477
274,869122.5,-8691.225,0.8037336011035978,477
275,1149270.0,-11492.7,0.8030906142227149,477
276,934687.5,-9346.874999999996,0.8024481417313367,477
277,1041767.5,-10417.675,0.8018061832179516,477
278,1281570.0,-12815.7,0.8011647382713772,478
279,1113635.0,-11136.350000000002,0.8005238064807602,478
280,868595.0,-8685.949999999999,0.7998833874355755,479
281,856252.5,-8562.525,0.799243480725627,482
282,1020390.0,-10203.900000000001,0.7986040859410465,482
283,998635.0,-9986.35,0.7979652026722936,482
284,925110.0,-9251.100000000002,0.7973268305101558,483
285,749300.0,-7493.000000000002,0.7966889690457477,483
286,939670.0,-9396.700000000003,0.796051617870511,484
287,1022437.5,-10224.375000000004,0.7954147765762146,485
288,1144772.5,-11447.724999999999,0.7947784447549536,485
289,775072.5,-7750.724999999999,0.7941426219991496,485
290,910457.5,-9104.574999999999,0.7935073079015503,485
291,766702.5,-7667.025,0.7928725020552291,485
292,851710.0,-8517.1,0.7922382040535849,487
293,729757.5,-7297.575000000003,0.791604413490342,487
294,847770.0,-8477.699999999999,0.7909711299595498,487
295,738882.5,-7388.825000000001,0.7903383530555821,487
296,733572.5,-7335.725000000001,0.7897060823731376,488
297,736860.0,-7368.599999999999,0.789074317507239,489
298,935570.0,-9355.699999999999,0.7884430580532332,489
299,856872.5,-8568.725,0.7878123036067907,490
300,773392.5,-7733.925000000002,0.7871820537639053,490
301,752197.5,-7521.974999999999,0.7865523081208942,490
302,646512.5,-6465.124999999999,0.7859230662743975,491
303,638625.0,-6386.25,0.7852943278213779,491
304,1006282.5,-10062.825,0.7846660923591208,491
305,852710.0,-8527.100000000002,0.7840383594852335,491
306,751625.0,-7516.250000000002,0.7834111287976453,491
307,1115710.0,-11157.1,0.7827843998946071,491
